alpha,success_rate,goal_rate,collision_free_rate
0.00,36.6,45.2,90.8
0.05,79.4,88.6,90.2
0.10,83.8,93.6,89.8
0.15,83.0,94.8,87.6
0.20,81.6,95.0,85.2
0.25,79.6,95.8,82.8
0.30,79.6,96.0,82.4
0.35,77.4,96.6,79.6
0.40,75.0,96.2,77.2
0.45,71.6,96.6,73.6
0.50,69.4,96.6,71.6
0.55,68.2,96.6,70.4
0.60,67.2,96.6,68.8
0.65,64.8,96.2,66.6
0.70,64.4,97.6,65.0
0.75,62.8,97.6,63.6
0.80,61.2,97.2,62.8
0.85,61.0,98.0,62.0
0.90,59.8,97.6,60.8
0.95,56.6,97.6,57.8
1.00,56.6,98.4,57.4
