alpha,success_rate,goal_rate,collision_free_rate
0.00,46.8,56.4,88.2
0.05,74.4,86.2,87.0
0.10,74.4,88.2,85.0
0.15,75.0,90.0,83.2
0.20,75.6,91.4,82.0
0.25,74.0,92.2,79.2
0.30,71.0,92.2,75.8
0.35,71.4,94.6,74.4
0.40,71.8,95.6,73.6
0.45,68.6,95.0,70.6
0.50,68.6,95.6,70.0
0.55,67.0,96.6,68.4
0.60,64.8,97.4,65.8
0.65,63.0,97.8,63.6
0.70,62.4,98.0,62.8
0.75,62.2,98.0,62.8
0.80,59.6,98.2,60.0
0.85,57.6,98.0,58.2
0.90,59.0,98.8,59.6
0.95,59.2,98.6,59.6
1.00,58.0,99.0,58.4
